dsm_dem,ndvi_re,slope,l,K,resource,twi,ic,rain,CID
0.0105833,0.500491,0.57451,0.0873209,0.219831,0.0003695,0.176643,0.335745,0.930662,1
0,0.598898,0.413649,0.0911236,0.615049,0.0003886,0.179715,0.285345,0.411697,0
0.0090423,0.595387,0.840504,0.0677753,0.219831,0.0003981,0.245429,0.303956,0.946644,1
0.0308417,0.49907,0.424018,0.0963852,0.354176,0.0004141,0.350899,0.286149,0.358458,0
0.0038565,0.554627,0.463052,0.0875317,0.967189,0.000516,0.207601,0.252389,0.92019,1
0.0107103,0.791636,0.415278,0.0867039,0.0915633,0.0005224,0.13901,0.259517,0.835095,0
0.0005788,0.456151,0.184813,0.0887215,0.667692,0.0005224,0.269001,0.257459,0.986235,0
0.0071499,0.473904,0.331314,0.0886805,0.314961,0.0005224,0.215222,0.253056,0.719957,0
0.0011651,0.70303,0.299891,0.0842727,0.651592,0.0005224,0.334687,0.377195,0.992373,1
0,0.572559,0.586581,0.0628054,0.635049,0.0005224,0.19292,0.314148,0.442259,0
0.1228602,0.843379,0.475135,0.0889428,0.585014,0.0005733,0.181069,0.273726,0.508595,0
0.0186854,0.404929,0.599183,0.0895601,0.119426,0.0005861,0.199387,0.27647,0.460605,0
0.0028536,0.476989,0.330989,0.0808637,0.139426,0.0006689,0.353891,0.332873,0.697487,1
0.0020335,0.381638,0.57039,0.17036,0.40425,0.0006944,0.177035,0.272198,0.774312,1
0.000676,0.544108,0.369513,0.0903765,0.615049,0.0007804,0.163523,0.298128,0.589507,0
0.0006493,0.692892,0.328359,0.1037608,0.1115633,0.0007835,0.16783,0.401603,0.777395,1
0.0283732,0.493834,0.315435,0.094727,0.354176,0.0008536,0.299884,0.281834,0.257886,0
0.0022334,0.700881,0.405848,0.0802357,0.687692,0.000911,0.18047,0.3117,0.996638,1
0.0510523,0.66875,0.538455,0.0817924,0.635049,0.0010415,0.16802,0.35605,0.467447,1
0.0270301,0.545921,0.242835,0.0899007,0.631592,0.0010447,0.323931,0.269681,0.951408,0
0.0256672,0.469271,0.263745,0.0897511,0.314961,0.0010447,0.343742,0.282554,0.70209,0
0.0823121,0.67917,0.0293443,0.1399196,0.0915633,0.0010638,0.28732,0.305459,0.653314,0
0.0011692,0.58137,0.595894,0.0898119,0.0915633,0.0010766,0.174588,0.284294,0.841402,0
0.0106377,0.572252,0.552903,0.084042,0.631592,0.0011084,0.166667,0.233694,0.965696,0
0.0800031,0.775274,0.216938,0.1377874,0.585014,0.0011148,0.421869,0.341068,0.435067,0
0,0.783391,0.665986,0.106378,0.1115633,0.0011244,0.155475,0.395492,0.784033,1
0.0108899,0.573424,0.489569,0.0924966,0.615049,0.0011339,0.184584,0.302824,0.318365,0
0.1142522,0.591194,0.394593,0.1367569,0.199831,0.0011435,0.182117,0.264112,0.920297,0
0.0001499,0.533631,0.344614,0.0619371,0.605014,0.0012995,0.360617,0.346941,0.399115,0
0.0053481,0.544527,0.149721,0.0902837,0.845978,0.0013027,0.193345,0.288203,0.692128,0
0.0271171,0.711083,0.679113,0.0865584,0.314961,0.0014015,0.25903,0.24538,0.6391,0
0.0014181,0.415735,0.388269,0.089596,0.119426,0.0014588,0.226781,0.270852,0.467181,0
0.0063592,0.326288,0.420669,0.0899217,0.119426,0.0014715,0.238771,0.242585,0.363141,0
0.0114119,0.405592,0.371809,0.0880588,0.139426,0.0015161,0.211002,0.330004,0.658842,1
0.0033776,0.580334,0.19854,0.0915874,0.314961,0.0015352,0.21712,0.272477,0.733029,0
0.0148012,0.477927,0.373217,0.0891142,0.119426,0.0015416,0.239186,0.273072,0.718133,0
0.0004474,0.820619,0.275361,0.1033226,0.1115633,0.0015575,0.19446,0.366651,0.843923,1
0.0614983,0.439034,0.330462,0.0883471,0.38425,0.0016053,0.20017,0.255158,0.815954,0
0.001555,0.530136,0.420428,0.1021404,0.354176,0.0016499,0.27989,0.308832,0.176307,0
0.002358,0.437741,0.279439,0.0942996,0.139426,0.0016818,0.249453,0.350968,0.662329,1
